Datetime,BTC-USD,ETH-USD
2022-03-20 19:54:00+00:00,41340.94140625,2869.29150390625
2022-03-20 19:55:00+00:00,41346.40625,2869.7373046875
2022-03-20 19:58:00+00:00,41373.6953125,2872.6455078125
2022-03-20 19:59:00+00:00,41366.05078125,2873.025146484375
2022-03-20 20:01:00+00:00,41369.359375,2873.320068359375
2022-03-20 20:02:00+00:00,41364.703125,2872.812744140625
2022-03-20 20:03:00+00:00,41367.73046875,2872.82080078125
2022-03-20 20:04:00+00:00,41370.81640625,2873.0791015625
2022-03-20 20:05:00+00:00,41388.3125,2873.956298828125
2022-03-20 20:06:00+00:00,41399.98046875,2874.947998046875
2022-03-20 20:07:00+00:00,41454.37109375,2877.663818359375
2022-03-20 20:10:00+00:00,41487.58203125,2881.5419921875
2022-03-20 20:11:00+00:00,41494.39453125,2883.308837890625
2022-03-20 20:12:00+00:00,41507.77734375,2886.193359375
2022-03-20 20:13:00+00:00,41523.28515625,2892.748291015625
2022-03-20 20:14:00+00:00,41541.95703125,2895.75732421875
2022-03-20 20:15:00+00:00,41555.79296875,2897.621337890625
2022-03-20 20:16:00+00:00,41604.07421875,2901.078369140625
2022-03-20 20:17:00+00:00,41588.68359375,2899.26416015625
2022-03-20 20:18:00+00:00,41607.47265625,2899.93798828125
2022-03-20 20:19:00+00:00,41596.3984375,2897.75244140625
2022-03-20 20:21:00+00:00,41591.4140625,2896.185546875
2022-03-20 20:22:00+00:00,41591.171875,2895.313720703125
2022-03-20 20:23:00+00:00,41583.51953125,2894.474365234375
2022-03-20 20:25:00+00:00,41562.4140625,2892.21875
2022-03-20 20:29:00+00:00,41583.44921875,2893.207275390625
2022-03-20 20:30:00+00:00,41586.1640625,2893.23486328125
2022-03-20 20:31:00+00:00,41588.421875,2893.005615234375
2022-03-20 20:33:00+00:00,41569.984375,2890.560302734375
2022-03-20 20:34:00+00:00,41562.09765625,2889.35107421875
2022-03-20 20:35:00+00:00,41561.046875,2889.07373046875
2022-03-20 20:36:00+00:00,41561.125,2888.813720703125
2022-03-20 20:38:00+00:00,41556.0,2888.111572265625
2022-03-20 20:40:00+00:00,41520.41015625,2884.729736328125
2022-03-20 20:41:00+00:00,41506.40625,2883.807373046875
2022-03-20 20:42:00+00:00,41522.140625,2884.111572265625
2022-03-20 20:45:00+00:00,41507.703125,2884.34375
2022-03-20 20:46:00+00:00,41499.97265625,2884.708984375
2022-03-20 20:47:00+00:00,41493.18359375,2883.992919921875
2022-03-20 20:48:00+00:00,41486.47265625,2883.18212890625
2022-03-20 20:50:00+00:00,41477.7890625,2882.2216796875
2022-03-20 20:51:00+00:00,41467.57421875,2882.450439453125
2022-03-20 20:52:00+00:00,41440.85546875,2882.050537109375
2022-03-20 20:53:00+00:00,41437.5,2881.74658203125
2022-03-20 20:54:00+00:00,41432.5390625,2881.5458984375
2022-03-20 20:55:00+00:00,41413.96484375,2880.874755859375
2022-03-20 20:57:00+00:00,41409.25,2880.17236328125
2022-03-20 20:58:00+00:00,41360.33203125,2877.09912109375
2022-03-20 20:59:00+00:00,41351.43359375,2876.392822265625
2022-03-20 21:00:00+00:00,41352.19140625,2876.271240234375
2022-03-20 21:01:00+00:00,41328.0078125,2875.3017578125
2022-03-20 21:02:00+00:00,41287.02734375,2873.076904296875
2022-03-20 21:03:00+00:00,41286.19921875,2872.4404296875
2022-03-20 21:04:00+00:00,41224.51171875,2868.7255859375
2022-03-20 21:06:00+00:00,41225.39453125,2868.021484375
2022-03-20 21:07:00+00:00,41226.95703125,2868.534423828125
2022-03-20 21:09:00+00:00,41228.18359375,2868.042724609375
2022-03-20 21:11:00+00:00,41236.75390625,2867.572265625
2022-03-20 21:14:00+00:00,41242.97265625,2867.5703125
2022-03-20 21:17:00+00:00,41290.15234375,2875.586669921875
2022-03-20 21:18:00+00:00,41305.16796875,2877.0810546875
2022-03-20 21:19:00+00:00,41332.796875,2879.90966796875
2022-03-20 21:21:00+00:00,41331.60546875,2879.721923828125
2022-03-20 21:23:00+00:00,41323.16015625,2878.384033203125
2022-03-20 21:24:00+00:00,41317.96484375,2878.082763671875
2022-03-20 21:25:00+00:00,41312.8828125,2878.3916015625
2022-03-20 21:26:00+00:00,41312.80859375,2878.1943359375
2022-03-20 21:28:00+00:00,41327.76953125,2879.395751953125
2022-03-20 21:29:00+00:00,41332.17578125,2879.420654296875
2022-03-20 21:31:00+00:00,41358.28125,2880.467041015625
2022-03-20 21:32:00+00:00,41369.56640625,2881.35009765625
2022-03-20 21:34:00+00:00,41388.8046875,2884.03466796875
2022-03-20 21:36:00+00:00,41376.03125,2883.3310546875
2022-03-20 21:37:00+00:00,41362.984375,2881.743896484375
2022-03-20 21:38:00+00:00,41343.703125,2880.997314453125
2022-03-20 21:41:00+00:00,41334.67578125,2879.927978515625
2022-03-20 21:42:00+00:00,41340.83984375,2879.940673828125
2022-03-20 21:45:00+00:00,41362.60546875,2880.781982421875
2022-03-20 21:46:00+00:00,41371.859375,2880.83349609375
2022-03-20 21:48:00+00:00,41356.83984375,2879.884765625
2022-03-20 21:49:00+00:00,41343.58203125,2879.3818359375
2022-03-20 21:52:00+00:00,41336.21875,2879.009521484375
2022-03-20 21:53:00+00:00,41341.0703125,2879.277099609375
2022-03-20 21:54:00+00:00,41346.6796875,2879.610595703125
2022-03-20 21:55:00+00:00,41357.91796875,2879.8623046875
2022-03-20 21:56:00+00:00,41357.5859375,2879.96533203125
2022-03-20 21:57:00+00:00,41354.6171875,2880.029541015625
2022-03-20 21:59:00+00:00,41349.0234375,2879.49658203125
2022-03-20 22:00:00+00:00,41349.27734375,2879.576904296875
2022-03-20 22:01:00+00:00,41361.36328125,2880.03271484375
2022-03-20 22:02:00+00:00,41373.09765625,2880.9814453125
2022-03-20 22:03:00+00:00,41370.359375,2881.01171875
2022-03-20 22:04:00+00:00,41363.90625,2880.65185546875
2022-03-20 22:05:00+00:00,41360.40625,2879.649169921875
2022-03-20 22:06:00+00:00,41355.09765625,2879.099365234375
2022-03-20 22:07:00+00:00,41326.42578125,2876.7197265625
2022-03-20 22:08:00+00:00,41297.66796875,2873.873046875
2022-03-20 22:09:00+00:00,41296.0078125,2872.27294921875
2022-03-20 22:10:00+00:00,41267.02734375,2869.592529296875
2022-03-20 22:11:00+00:00,41269.8515625,2869.039306640625
2022-03-20 22:12:00+00:00,41273.5859375,2869.09716796875
2022-03-20 22:13:00+00:00,41295.1640625,2869.81591796875
2022-03-20 22:14:00+00:00,41300.58203125,2870.188720703125
2022-03-20 22:15:00+00:00,41295.59765625,2870.105224609375
2022-03-20 22:16:00+00:00,41297.03515625,2870.021240234375
2022-03-20 22:17:00+00:00,41292.08984375,2869.93505859375
2022-03-20 22:19:00+00:00,41276.61328125,2869.6513671875
2022-03-20 22:20:00+00:00,41271.71875,2869.5791015625
2022-03-20 22:21:00+00:00,41265.96484375,2869.107421875
2022-03-20 22:23:00+00:00,41255.33984375,2868.9384765625
2022-03-20 22:24:00+00:00,41248.90625,2868.305419921875
2022-03-20 22:25:00+00:00,41252.265625,2867.488525390625
